,Ticker,Open,High,Low,Close,Adj Close,Volume,Percent_Change_From_Startdate,Change_Close_Less_Open
2021-01-27 09:30:00-05:00,UUP,28.57999992,28.69249916,27.22500038,28.07999992,28.07999992,26436,7.093824024,-0.5
2021-01-27 10:30:00-05:00,UUP,28.11124992,28.11124992,27.50749969,27.50749969,27.50749969,6697,4.910375344,-0.603750229
2021-01-27 11:30:00-05:00,UUP,27.59329987,27.78750038,27.30137444,27.78750038,27.78750038,6148,5.9782651,0.194200516
2021-01-27 12:30:00-05:00,UUP,27.53750038,27.88687515,27.53750038,27.68320084,27.68320084,2285,5.580478875,0.145700455
2021-01-27 13:30:00-05:00,UUP,27.75,27.77000046,27.5,27.5,27.5,2644,4.881772388,-0.25
2021-01-27 14:30:00-05:00,UUP,27.25,27.33250046,26.58499908,26.58499908,26.58499908,12706,1.392066288,-0.665000916
2021-01-27 15:30:00-05:00,UUP,26.52249908,26.73995018,26.35984993,26.70000076,26.70000076,9934,1.830669192,0.177501678
2021-01-28 09:30:00-05:00,UUP,27.58250046,27.76749992,27.33499908,27.66875076,27.66875076,9726,5.525367992,0.086250305
2021-01-28 10:30:00-05:00,UUP,27.62750053,28.17250061,27.62280083,28.17250061,28.17250061,15730,7.446610786,0.545000076
2021-01-28 11:30:00-05:00,UUP,27.78502464,28.07999992,27.78502464,28.06749916,28.06749916,5592,7.046147581,0.282474518
2021-01-28 12:30:00-05:00,UUP,28.125,28.37747574,28.125,28.37747574,28.37747574,5452,8.228361868,0.252475739
2021-01-28 13:30:00-05:00,UUP,28.39249992,28.54500008,28.36025047,28.45247459,28.45247459,4074,8.5143987,0.05997467
2021-01-28 14:30:00-05:00,UUP,28.39249992,28.43124962,28.09747505,28.09747505,28.09747505,2148,7.160472112,-0.295024872
2021-01-28 15:30:00-05:00,UUP,28.04710007,28.10000038,27.72249985,27.72249985,27.72249985,2832,5.730360692,-0.32460022
2021-01-29 09:30:00-05:00,UUP,27.83499908,28.28874969,27.31749916,28.27614975,28.27614975,8003,7.841916439,0.441150665
2021-01-29 10:30:00-05:00,UUP,28.25250053,28.25250053,27.57999992,27.57999992,27.57999992,13072,5.186882708,-0.67250061
2021-01-29 11:30:00-05:00,UUP,27.50682449,27.64249992,27.26932526,27.29999924,27.29999924,2440,4.118992952,-0.206825256
2021-01-29 12:30:00-05:00,UUP,27.26499939,27.26499939,26.75,27.01002502,27.01002502,16787,3.013065338,-0.254974365
2021-01-29 13:30:00-05:00,UUP,27.15407562,27.22750092,26.98749924,27.20072556,27.20072556,3082,3.740374782,0.046649933
2021-01-29 14:30:00-05:00,UUP,26.86000061,27.30752563,26.86000061,27.29375076,27.29375076,10618,4.095162005,0.433750153
2021-01-29 15:30:00-05:00,UUP,27.29050064,27.29050064,26.94499969,26.94499969,26.94499969,8019,2.765066363,-0.345500946
2021-02-01 09:30:00-05:00,UUP,27.70999908,27.84124947,27.5,27.59499931,27.59499931,6066,5.244088619,-0.114999771
2021-02-01 10:30:00-05:00,UUP,27.78499985,28.06999969,27.5,28.06999969,28.06999969,2920,7.055684325,0.284999847
2021-02-01 11:30:00-05:00,UUP,28.10250092,28.31749916,28.10000038,28.31749916,28.31749916,1966,7.999618239,0.214998245
2021-02-01 12:30:00-05:00,UUP,28.36624908,28.54249954,28.36624908,28.54249954,28.54249954,1569,8.857743286,0.176250458
2021-02-01 13:30:00-05:00,UUP,28.65275002,28.83499908,28.58580017,28.8125,28.8125,6540,9.887493343,0.159749985
2021-02-01 14:30:00-05:00,UUP,28.81797409,28.87249947,28.79999924,28.83932495,28.83932495,4165,9.989800558,0.021350861
2021-02-01 15:30:00-05:00,UUP,28.80500031,28.94750023,28.77750015,28.88999939,28.88999939,5425,10.18306692,0.084999084
2021-02-02 09:30:00-05:00,UUP,29.65250015,29.65250015,29.04999924,29.22500038,29.22500038,20755,11.46072138,-0.427499771
2021-02-02 10:30:00-05:00,UUP,29.07749939,29.16500092,29,29.16252518,29.16252518,2207,11.22244829,0.085025787
2021-02-02 11:30:00-05:00,UUP,29.20874977,29.36750031,29.13750076,29.36750031,29.36750031,2039,12.00419937,0.158750534
2021-02-02 12:30:00-05:00,UUP,29.31274986,29.42497444,29.3084259,29.3084259,29.3084259,2215,11.77889653,-0.004323959
2021-02-02 13:30:00-05:00,UUP,29.3125,29.54999924,29.3125,29.54999924,29.54999924,4924,12.70022887,0.237499237
2021-02-02 14:30:00-05:00,UUP,29.56999969,29.87577438,29.56999969,29.87577438,29.87577438,3275,13.94269705,0.305774689
2021-02-02 15:30:00-05:00,UUP,29.86070061,29.88249969,29.78249931,29.88249969,29.88249969,4873,13.9683466,0.021799088
2021-02-03 09:30:00-05:00,UUP,30.12999916,30.16250038,29.17499924,29.17499924,29.17499924,0,11.27002289,-0.954999924
2021-02-03 10:30:00-05:00,UUP,29.18000031,29.29000092,29.0284996,29.0284996,29.0284996,3270,10.71129048,-0.151500702
2021-02-03 11:30:00-05:00,UUP,29.15132523,29.17972565,29.00499916,29.01000023,29.01000023,1777,10.64073604,-0.141324997
2021-02-03 12:30:00-05:00,UUP,29.05500031,29.12999916,29.04999924,29.0625,29.0625,1080,10.840964,0.007499695
2021-02-03 13:30:00-05:00,UUP,28.99250031,29.09910011,28.96249962,29.02667427,29.02667427,3253,10.70432887,0.034173965
2021-02-03 14:30:00-05:00,UUP,29.05500031,29.05500031,28.75607491,28.75607491,28.75607491,9212,9.672294655,-0.2989254
2021-02-03 15:30:00-05:00,UUP,28.80820084,28.91137505,28.80820084,28.81425095,28.81425095,5451,9.894171246,0.00605011
2021-02-04 09:30:00-05:00,UUP,28.55249977,28.56615067,28.16749954,28.35874939,28.35874939,9646,8.156941771,-0.193750381
2021-02-04 10:30:00-05:00,UUP,28.31749916,28.69205093,28.31749916,28.49250031,28.49250031,5842,8.667052065,0.175001144
2021-02-04 11:30:00-05:00,UUP,28.48875046,28.89340019,28.48875046,28.89340019,28.89340019,2328,10.19603718,0.404649734
2021-02-04 12:30:00-05:00,UUP,28.92000008,28.99374962,28.92000008,28.99374962,28.99374962,1012,10.57875812,0.073749542
2021-02-04 13:30:00-05:00,UUP,28.83402443,28.83402443,28.69000053,28.69619942,28.69619942,1567,9.44393657,-0.137825012
2021-02-04 14:30:00-05:00,UUP,28.69499969,28.88750076,28.68625069,28.88750076,28.88750076,1702,10.17353745,0.192501068
2021-02-04 15:30:00-05:00,UUP,28.92164993,28.94499969,28.92164993,28.94499969,28.94499969,702,10.39283163,0.023349762
2021-02-05 09:30:00-05:00,UUP,29.54000092,29.54000092,28.67562485,28.67562485,28.67562485,5509,9.365467576,-0.864376068
2021-02-05 10:30:00-05:00,UUP,28.71500015,28.8743248,28.69865036,28.71249962,28.71249962,3316,9.506103625,-0.002500534
2021-02-05 11:30:00-05:00,UUP,28.68375015,28.76997566,28.61249924,28.71375084,28.71375084,2898,9.510875634,0.030000687
2021-02-05 12:30:00-05:00,UUP,28.71999931,28.79999924,28.70125008,28.79999924,28.79999924,1517,9.8398169,0.079999924
2021-02-05 13:30:00-05:00,UUP,28.78750038,28.78750038,28.65999985,28.75625038,28.75625038,2218,9.6729639,-0.03125
2021-02-05 14:30:00-05:00,UUP,28.70999908,28.71249962,28.70750046,28.70750046,28.70750046,841,9.487037412,-0.002498627
2021-02-05 15:30:00-05:00,UUP,28.71997452,28.71997452,28.65415001,28.67499924,28.67499924,2499,9.363081571,-0.044975281
2021-02-08 09:30:00-05:00,UUP,28.85000038,29.91250038,28.85000038,29.58499908,29.58499908,9445,12.83371418,0.734998703
2021-02-08 10:30:00-05:00,UUP,29.66250038,29.83499908,29.66250038,29.69347572,29.69347572,14279,13.24743135,0.030975342
2021-02-08 11:30:00-05:00,UUP,29.64749908,30,29.64249992,30,30,4077,14.41647897,0.352500916
2021-02-08 12:30:00-05:00,UUP,30.17357445,30.20249939,30.07999992,30.20000076,30.20000076,3558,15.17925841,0.026426315
2021-02-08 13:30:00-05:00,UUP,30.21500015,30.24749947,30.15749931,30.23250008,30.23250008,2516,15.30320697,0.017499924
2021-02-08 14:30:00-05:00,UUP,30.25115013,30.49239922,30.25115013,30.37809944,30.37809944,8330,15.85850586,0.12694931
2021-02-08 15:30:00-05:00,UUP,30.42752457,30.54249954,30.42752457,30.52249908,30.52249908,8644,16.40922915,0.094974518
2021-02-09 09:30:00-05:00,UUP,30.40500069,30.76499939,30.29000092,30.62750053,30.62750053,24763,16.80969236,0.222499847
2021-02-09 10:30:00-05:00,UUP,30.6439743,30.6439743,30.24152565,30.24152565,30.24152565,4415,15.33762945,-0.402448654
2021-02-09 11:30:00-05:00,UUP,30.35750008,30.56092453,30.35499954,30.52924919,30.52924919,5022,16.43497327,0.171749115
2021-02-09 12:30:00-05:00,UUP,30.45000076,30.49250031,30.32250023,30.32250023,30.32250023,3014,15.64645699,-0.127500534
2021-02-09 13:30:00-05:00,UUP,30.31999969,30.35997581,30.26499939,30.35997581,30.35997581,1615,15.78938448,0.03997612
2021-02-09 14:30:00-05:00,UUP,30.33270073,30.42874908,30.33270073,30.35499954,30.35499954,10922,15.77040556,0.022298813
2021-02-09 15:30:00-05:00,UUP,30.30249977,30.30249977,30.23999977,30.26250076,30.26250076,2763,15.41762607,-0.039999008
2021-02-10 09:30:00-05:00,UUP,30.87249947,31.26499939,30.15500069,30.49250031,30.49250031,23059,16.29481733,-0.379999161
2021-02-10 10:30:00-05:00,UUP,30.36000061,30.61000061,29.82250023,30.54674911,30.54674911,5320,16.50171592,0.186748505
2021-02-10 11:30:00-05:00,UUP,30.51000023,30.65500069,30.51000023,30.51250076,30.51250076,1499,16.37109673,0.002500534
2021-02-10 12:30:00-05:00,UUP,30.64579964,30.65999985,30.64579964,30.65999985,30.65999985,1374,16.93364092,0.014200211
2021-02-10 13:30:00-05:00,UUP,30.65250015,30.67499924,30.53125,30.64999962,30.64999962,2279,16.89550122,-0.002500534
2021-02-10 14:30:00-05:00,UUP,30.77499962,30.94750023,30.76499939,30.86499977,30.86499977,7628,17.71548657,0.090000153
2021-02-10 15:30:00-05:00,UUP,30.77874947,30.78750038,30.40749931,30.57125092,30.57125092,2630,16.59516291,-0.20749855
2021-02-11 09:30:00-05:00,UUP,31.12249947,31.71500015,31.07595062,31.625,31.625,9125,20.61403825,0.502500534
2021-02-11 10:30:00-05:00,UUP,31.75,32.07875061,31.74500084,32.07875061,32.07875061,5693,22.34458982,0.32875061
2021-02-11 11:30:00-05:00,UUP,32.08527374,32.15000153,31.86207581,31.86207581,31.86207581,3922,21.51821754,-0.223197937
2021-02-11 12:30:00-05:00,UUP,31.81999969,32.17475128,31.67000008,32.17475128,32.17475128,3506,22.71072511,0.354751587
